Data Supplied By: National Livestock Reporting Service,,,,,,,,,
Data source: National Livestock Reporting Service,,,,,,,,,
,,,,,,,,,
Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/,,,,,,,,,
,,,,,,,,,
Quarterly,State,Saleyard,Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head,Price c/kg Lwt
30/09/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,D,2,25,160.31
30/09/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,382,195.72
30/09/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,1,7,125.34
30/09/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,66,183.35
30/09/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,3,25,193.79
30/09/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,2,3,165.8
30/09/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,290,190.81
30/09/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,3,19,198.57
30/09/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,95,174.82
30/09/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,2,3,190
30/09/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,3,35,189.5
30/09/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,24,171.07
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,0-200,Processor,C,2,35,184.03
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,D,1,20,192
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,D,2,20,215
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,294,178.14
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,22,180.98
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,131,166.15
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,2,243,181.25
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,2,46,168.66
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,164,175.81
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,195,182.49
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,45,164.6
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,3,18,160.47
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,49,178.85
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,41,162.91
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,72,163.75
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,239,182.11
31/12/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,4,7,167
